is the music in the bedroom functioning?	(Question): is the radio in the bedroom not malfunctioning ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-not malfunctioning')"]	5	1	516b253c693c4f3b75a72a269c9dfb25798f3a65	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("not malfunctioning")']
is the music in the bedroom playing properly?	(Question): is the radio in the bedroom not malfunctioning ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-not malfunctioning')"]	5	1	516b253c693c4f3b75a72a269c9dfb25798f3a65	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("not malfunctioning")']
can you let me know if the stereo in the bedroom is working okay?	(Question): is the radio in the bedroom not malfunctioning ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-not malfunctioning')"]	5	1	5166b3d8264da77520d8386cce4a09e2977ec690	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("not malfunctioning")']
is the stereo in the bedroom broken or can it be used?	(Question): is the radio in the bedroom not malfunctioning ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-not malfunctioning')"]	5	1	5166b3d8264da77520d8386cce4a09e2977ec690	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("not malfunctioning")']
did the radio turn on in the bedroom?	(Question): is the radio in the bedroom not malfunctioning ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-not malfunctioning')"]	5	1	8d8babba796423d622d77e9449f10bd0911ebc61	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("not malfunctioning")']
is my bedroom stereo broken?	(Question): is the radio in the bedroom not malfunctioning ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-not malfunctioning')"]	5	1	93972540802157aff79547c8f9e0f629bca238fe	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("not malfunctioning")']
is the stereo in my bedroom not working?	(Question): is the radio in the bedroom not malfunctioning ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-not malfunctioning')"]	5	1	93972540802157aff79547c8f9e0f629bca238fe	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("not malfunctioning")']
is the stereo in the bedroom playing music?	(Question): is the radio in the bedroom on ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-on')"]	5	0	7f233a816198d4e488cf9d0aee86ae4db75bc9c8	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("on")']
is there music in bedroom now?	(Question): is the radio in the bedroom on ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-on')"]	5	0	e7cc274f152d53f2d4ae1284bd235efc8bd432c4	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("on")']
is anyone listening to tunes in the bedroom?	(Question): is the radio in the bedroom on ?	ROOT["(None, 'bedroom', 'radio', 'getSensor>checkState-on')"]	5	0	e7cc274f152d53f2d4ae1284bd235efc8bd432c4	['ROOT:##token##("is")', 'ROOT:##token##("the")', 'ROOT:APPLIANCE("radio")', 'ROOT:##token##("in")', 'ROOT:##token##("the")', 'ROOT:ROOM("bedroom")', 'ROOT:S_STATE("on")']
